freq,unit,na_item,geo\TIME_PERIOD	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,CP_MPPS_EU27_2020,P31_S14,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6842.1 	7290.9 	7498.1 	8016.4 	8333.3 	9145.4 	9859.6 	10252.7 	11040.3 	12040.6 	14093.2 	15796.2 	15868.8 	16254.9 	16973.4 	17194.0 	16952.3 	18208.1 	18677.3 	18733.8 	19121.2 	19593.1 	20497.3 	19384.9 	20480.1 	23628.0 	25954.1 	27437.6 p	: 
A,CP_MPPS_EU27_2020,P31_S14,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83452.3 	88507.4 	89249.7 	92327.6 	94863.3 	101072.7 	102940.0 	106009.3 	111683.1 	116680.2 	121854.4 	126261.2 	128804.6 	132572.6 	132078.5 	136547.2 	142057.0 	147945.7 	150016.0 	151258.2 	155313.5 	159318.4 	163867.9 	168602.7 	171607.1 	158833.0 	171176.1 	197571.1 	210021.5 	217525.3 	223688.6 
A,CP_MPPS_EU27_2020,P31_S14,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14325.2 	14927.6 	15511.9 	16367.4 	17665.0 	18841.2 	19822.5 	21030.8 	22427.9 	21792.4 	22317.5 	23193.2 	23792.9 	24169.8 	24352.1 	24377.6 b	24430.1 	24571.4 	25260.7 	25951.7 	25027.9 	26113.0 	29205.9 	31992.6 	33925.1 	35317.1 
A,CP_MPPS_EU27_2020,P31_S14,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99498.4 	103021.1 	104759.0 	107766.7 	111342.6 	121727.8 	126344.6 	129812.8 	132434.1 	134536.0 	140136.3 	145047.9 	150278.8 	156544.7 	156825.3 b	168664.3 	172556.7 	179418.9 	183079.1 	186507.9 	191599.7 	195426.6 	202378.0 	209641.0 	215512.0 	203553.9 	219084.7 	250847.3 	270520.8 	281412.3 p	290545.2 p
A,CP_MPPS_EU27_2020,P31_S14,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31208.8 	35688.9 	26048.1 	23689.1 	25806.5 	28810.3 	31468.7 	33952.0 	36293.4 	39402.1 	44153.6 	45902.2 	52094.8 	54512.7 	49963.3 	53397.1 	53702.7 	57441.0 	54170.2 	56824.6 	58319.1 	59523.4 	62242.3 	64549.7 	67440.3 	65889.5 	73877.8 	83278.6 	89420.7 	96440.4 	105675.4 p
A,CP_MPPS_EU27_2020,P31_S14,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5647.0 	5996.8 	6103.7 	6482.4 	6790.7 	7466.9 	8038.7 	8318.7 	8588.6 	9354.0 	10196.8 	10854.6 	12567.4 	14013.3 	13001.6 	13657.8 	13770.5 	13438.5 	12509.9 	12475.7 	12892.8 	13686.4 	14493.0 	15442.3 	16164.8 	14954.5 	15648.7 	18426.3 	20441.2 	21648.7 p	22567.3 p
A,CP_MPPS_EU27_2020,P31_S14,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	58205.0 	62899.0 	64908.5 	64110.6 	66634.8 	69124.9 	73534.6 	75392.3 	80920.6 	84141.0 	87346.7 	90320.0 	97140.8 	105462.2 	105162.7 	109588.4 	112534.2 	113215.2 	116677.3 	119530.7 	122690.9 	127556.9 	137265.9 	144723.3 	150475.3 	141532.8 	148329.8 	166171.7 	176250.1 	183681.0 	194303.3 
A,CP_MPPS_EU27_2020,P31_S14,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	871183.9 	914283.9 	922097.0 	937839.4 	991485.4 	1028591.8 	1072030.2 	1090485.0 	1140697.3 	1183729.1 	1217283.9 	1249562.4 	1278871.2 	1309735.5 	1291327.8 	1332257.5 	1382280.4 	1410256.5 	1424303.1 	1454462.6 	1482999.1 	1524536.7 	1571503.3 	1620572.2 	1643492.5 	1532448.2 	1613410.2 	1825806.6 p	1923967.1 p	1988050.0 p	2066600.9 p
A,CP_MPPS_EU27_2020,P31_S14,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	48772.0 	51496.6 	53277.4 	55333.8 	55979.6 	57881.6 	59113.1 	61529.9 	62566.4 	67632.8 	70781.7 	74613.0 	78034.4 	81401.4 	79317.7 	83985.2 	86150.8 	86463.7 	89047.1 	89087.8 	91621.9 	94397.4 	99867.1 	104450.4 	106322.2 	105982.1 	115435.6 	121133.6 	124850.6 	128435.7 	134824.5 
A,CP_MPPS_EU27_2020,P31_S14,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2816439.9 	2962973.6 	3031857.5 	3154031.7 	3315163.9 	3519857.0 	3779114.1 	3887422.7 	4001421.9 	4138479.9 	4331727.0 	4530543.2 	4743669.7 	4902193.5 	4810858.7 	4950782.9 	5080718.5 	5107839.4 	5136113.2 	5216292.4 	5367590.7 	5494428.4 	5675580.4 	5842767.8 	5980849.7 	5518458.8 	5929229.1 	6697688.5 	7237290.3 	7520337.4 	7795100.1 
