freq,indic_he,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 
A,F_0_LE,AT	80.1 	80.2 	80.7 	81 	81 	81.2 	81.7 	81.7 	81.5 
A,F_0_LE,BE	80.4 	80.7 	80.7 	80.7 	81 	81 	81.2 	81.2 	81.1 
A,F_0_LE,BG	74.9 	74.5 	73.8 	74.6 	75 	75 	75.4 	75.5 	75.9 
A,F_0_LE,CY	79.6 	80 	80 	79.8 	79.9 	80.1 	81.4 	81 	81.2 
A,F_0_LE,CZ	76.8 	77.5 	77.6 	78.2 	78.3 	78.5 	78.6 	78.7 	78.6 
A,F_0_LE,DE	79.9 	80.1 	80.5 	80.8 	81 	81.2 	81.4 	81.3 	81.3 
A,F_0_LE,DK	77.9 	78.3 	78.6 	79 	79 	79.2 	79.3 	79.4 	79.8 
A,F_0_LE,EA15	80.9 	81 	81.4 	81.5 	81.7 	81.9 	82.2 	82.2 	82 
A,F_0_LE,EE	74.3 	75.6 	75.9 	75.4 	76 	76.2 	76.4 	77 	77.1 
A,F_0_LE,EL	80.1 	80.2 	80.4 	80.3 	80.5 	80.6 	81 	81.1 	81.2 
A,F_0_LE,ES	81.8 	82 	82.3 	82.4 	82.4 	82.9 	83.2 	83.2 	83 
A,F_0_LE,EU15	80.4 	80.6 	80.9 	80.9 e	81.1 e	81.4 e	81.6 e	81.6 e	81.6 e
A,F_0_LE,EU25	: 	: 	: 	: 	: 	: 	: 	81.3 	81.2 
A,F_0_LE,EU27_2007	: 	: 	: 	: 	: 	: 	: 	80.9 	80.8 
A,F_0_LE,FI	80.4 	80.7 	80.7 	81 	81.2 	81.2 	81.7 	81.6 	81.9 
A,F_0_LE,FR	: 	: 	: 	82.6 	82.7 	83 	83 	83 	82.7 
A,F_0_LE,HU	74.8 	75 	75.5 	75.6 	75.6 	76.2 	76.7 	76.7 	76.7 
A,F_0_LE,IE	78.3 	78.7 	78.7 	79.1 	78.9 	79.2 	79.9 	80.5 	80.8 
A,F_0_LE,IS	80.1 	81.2 	81.6 	81.6 	81.4 	81.6 	83.2 	82.5 	82.5 
A,F_0_LE,IT	81.5 	81.8 	82 	82.1 	82.6 	82.8 	83.1 	83.2 	82.8 
A,F_0_LE,LT	75.1 	75.9 	76.6 	76.7 	77 	77.5 	77.6 	77.5 	77.8 
A,F_0_LE,LU	80.6 	80.2 	80 	80.8 	81.4 	81.3 	80.7 	81.5 	80.8 
A,F_0_LE,LV	: 	: 	: 	: 	: 	: 	: 	76 	75.8 
A,F_0_LE,MT	79.6 	79.6 	80.1 	80 	79.4 	80.3 	81.2 	81.3 	80.8 
A,F_0_LE,NL	80.5 	80.5 	80.7 	80.8 	80.5 	80.7 	80.8 	80.7 	81 
A,F_0_LE,NO	80.9 	81.2 	81.1 	81.4 	81.2 	81.5 	81.6 	81.6 	82.1 
A,F_0_LE,PL	76.4 	76.6 	77 	77.4 	77.5 	78 	78.4 	78.8 	78.8 
A,F_0_LE,PT	79 	79 	79.3 	79.5 	79.7 	80.2 	80.5 	80.6 	80.6 
A,F_0_LE,RO	73.5 	72.8 	73.3 	73.8 	74.2 	74.8 	74.9 	74.7 	75 
A,F_0_LE,SE	81.7 	81.7 	82 	82.1 	82 	82 	82.2 	82.1 	82.5 
A,F_0_LE,SI	78.5 	79 	79.1 	79.2 	79.5 	79.9 	80.4 	80.5 	80.3 
A,F_0_LE,SK	76.5 	77 	76.9 	77 	77.4 	77.5 	77.7 	77.7 	77.7 
A,F_0_LE,UK	79.3 	79.5 	79.7 	79.8 	79.9 	80.3 	80.5 	80.6 	80.5 
A,F_65_LE,AT	18.8 	18.9 	19.1 	19.4 	19.4 	19.6 	20 	19.8 	19.7 
A,F_65_LE,BE	19.3 	19.4 	19.5 	19.6 	19.6 	19.7 	19.9 	19.7 	19.6 
A,F_65_LE,BG	15.3 	15 	14.7 	15 	15.4 	15.3 	15.6 	15.7 	15.8 
A,F_65_LE,CY	18.4 	18.5 	18.2 	18 	18.3 	18.3 	19.2 	19 	19.1 
A,F_65_LE,CZ	16.2 	16.6 	16.7 	17 	17 	17.3 	17.3 	17.3 	17.2 
